Região de Saúde (CIR),2010/jan.,2010/fev.,2010/mar.,2010/abr.,2010/mai.,2010/jun.,2010/jul.,2010/ago.,2010/set.,2010/out.,2010/nov.,2010/dez.,2011/jan.,2011/fev.,2011/mar.,2011/abr.,2011/mai.,2011/jun.,2011/jul.,2011/ago.,2011/set.,2011/out.,2011/nov.,2011/dez.,2012/jan.,2012/fev.,2012/mar.,2012/abr.,2012/mai.,2012/jun.,2012/jul.,2012/ago.,2012/set.,2012/out.,2012/nov.,2012/dez.,2013/jan.,2013/fev.,2013/mar.,2013/abr.,2013/mai.,2013/jun.,2013/jul.,2013/ago.,2013/set.,2013/out.,2013/nov.,2013/dez.,2014/jan.,2014/fev.,2014/mar.,2014/abr.,2014/mai.,2014/jun.,2014/jul.,2014/ago.,2014/set.,2014/out.,2014/nov.,2014/dez.,2015/jan.,2015/fev.,2015/mar.,2015/abr.,2015/mai.,2015/jun.,2015/jul.,2015/ago.,2015/set.,2015/out.,2015/nov.,2015/dez.,2016/jan.,2016/fev.,2016/mar.,2016/abr.,2016/mai.,2016/jun.,2016/jul.,2016/ago.,2016/set.,2016/out.,2016/nov.,2016/dez.,2017/jan.,2017/fev.,2017/mar.,2017/abr.,2017/mai.,2017/jun.,2017/jul.,2017/ago.,2017/set.,2017/out.,2017/nov.,2017/dez.,2018/jan.,2018/fev.,2018/mar.,2018/abr.,2018/mai.,2018/jun.,2018/jul.,2018/ago.,2018/set.,2018/out.,2018/nov.,2018/dez.,2019/jan.,2019/fev.,2019/mar.,2019/abr.,2019/mai.,2019/jun.,2019/jul.,2019/ago.,2019/set.,2019/out.,2019/nov.,2019/dez.,2020/jan.,2020/fev.,2020/mar.,2020/abr.,2020/mai.,2020/jun.,2020/jul.,2020/ago.,2020/set.,2020/out.,2020/nov.,2020/dez.,2021/jan.,2021/fev.,2021/mar.,2021/abr.,2021/mai.,2021/jun.,2021/jul.,2021/ago.,2021/set.,2021/out.,2021/nov.,2021/dez.,2022/jan.,2022/fev.,2022/mar.,2022/abr.,2022/mai.,2022/jun.,2022/jul.,2022/ago.,2022/set.,2022/out.,2022/nov.,2022/dez.,2023/jan.,2023/fev.,2023/mar.,2023/abr.,2023/mai.,2023/jun.,2023/jul.,2023/ago.,2023/set.,2023/out.,2023/nov.,2023/dez.,2024/jan.,2024/fev.,2024/mar.,2024/abr.,2024/mai.,2024/jun.,2024/jul.,2024/ago.,2024/set.,2024/out.,2024/nov.,2024/dez.,2025/jan.,2025/fev.,2025/mar.,2025/abr.,2025/mai.,2025/jun.,2025/jul.,2025/ago.,2025/set.,2025/out.,2025/nov.,2025/dez.,2026/jan.
31012 Varginha,"1.418,03","1.375,08","1.550,41","1.553,32","1.634,26","1.529,42","1.667,92","1.451,54","1.445,40","1.412,32","1.742,13","1.563,77","1.485,77","1.441,73","1.477,62","1.482,21","1.543,07","1.506,71","1.613,10","1.491,69","1.670,22","1.575,68","1.651,39","1.575,04","1.854,30","1.663,77","1.918,05","1.662,84","1.819,00","1.606,49","1.623,29","1.600,22","1.501,58","1.867,86","1.504,62","1.769,31","1.505,36","1.855,21","1.799,33","1.783,86","1.822,01","2.090,53","1.868,24","1.650,30","1.804,22","1.785,81","1.956,32","1.824,88","1.667,96","1.759,41","2.087,32","1.728,59","1.877,20","1.686,71","1.780,13","2.084,21","1.935,21","1.945,22","1.800,99","1.793,06","1.673,36","1.772,33","1.803,70","1.820,91","1.740,32","1.719,27","1.857,83","1.817,62","1.898,47","1.644,09","1.662,68","1.791,86","1.917,71","1.822,89","1.817,44","1.693,05","1.687,65","2.166,72","1.754,58","1.850,85","1.772,61","2.037,85","1.817,74","2.050,46","1.954,18","1.886,70","1.777,62","1.900,55","1.859,75","1.917,69","1.815,45","1.936,93","1.815,13","1.893,99","1.833,90","1.835,76","2.047,86","1.939,05","2.055,78","2.025,24","2.119,97","2.033,56","1.998,98","1.901,17","1.961,05","2.094,28","1.962,95","1.875,91","2.075,54","1.909,69","2.056,10","1.721,70","2.233,75","1.994,68","2.129,53","2.110,63","1.901,74","2.188,16","2.119,81","2.027,29","1.971,18","2.360,60","2.223,75","2.246,01","2.284,64","2.259,26","2.693,96","2.499,66","2.356,98","2.251,16","2.522,36","2.580,74","2.648,93","2.948,27","2.695,57","2.720,31","2.883,23","2.856,98","3.076,12","3.061,62","2.760,63","2.581,40","2.189,09","2.385,57","2.228,25","2.509,26","2.706,96","2.115,83","2.338,81","1.899,57","2.020,86","1.797,27","2.238,82","2.243,93","2.407,07","2.260,92","2.370,39","2.395,97","2.140,68","2.350,37","2.518,33","2.492,42","2.218,32","2.640,41","2.317,89","2.748,13","2.600,20","2.530,96","2.501,04","2.459,51","2.666,75","2.326,33","3.070,63","2.758,23","2.475,89","2.500,08","2.530,55","2.536,86","2.592,79","2.724,05","2.517,87","2.726,85","2.407,06","3.692,48","3.338,23","3.560,29","3.193,46","3.838,67","3.629,04","3.407,79","4.626,25","4.761,99","2.134,79"
31013 Barbacena,"1.451,73","1.370,81","1.334,72","1.297,53","1.370,26","1.416,63","1.440,14","1.310,98","1.379,69","1.423,83","1.364,35","1.419,61","1.323,09","1.463,00","1.412,96","1.450,79","1.499,00","1.609,61","1.591,82","1.494,48","1.631,01","1.581,77","1.495,47","1.521,31","1.532,08","1.611,30","1.540,26","1.449,95","1.511,06","1.504,05","1.664,30","1.546,80","1.410,81","1.417,63","1.528,46","1.603,36","1.510,37","1.536,55","1.444,49","1.452,09","1.640,48","1.572,42","1.499,57","1.551,74","1.558,36","1.678,04","1.539,07","1.600,64","1.594,10","1.544,07","1.616,31","1.555,80","1.652,53","1.626,91","1.619,73","1.482,26","1.654,51","1.642,00","1.809,34","1.673,51","1.771,13","1.702,28","1.593,27","1.586,57","1.764,96","1.559,28","1.601,55","1.785,35","1.572,92","1.800,11","1.708,08","1.693,36","1.610,88","1.699,24","1.700,36","1.508,40","1.666,17","1.616,73","1.703,78","1.606,84","1.847,30","1.672,24","1.863,46","1.673,29","1.750,03","1.739,54","1.732,02","1.659,11","1.626,17","1.661,44","1.813,25","1.753,73","1.628,08","1.669,42","1.630,62","1.663,22","1.664,16","1.694,04","1.582,06","1.762,60","1.664,37","1.646,70","1.676,21","1.742,09","1.769,65","1.724,70","1.517,71","1.634,28","1.853,90","1.629,45","1.678,33","1.672,33","1.646,14","1.783,12","1.633,62","1.847,48","1.883,10","1.834,33","1.979,58","1.947,33","1.751,91","1.682,98","1.744,76","2.066,36","2.018,10","2.040,12","2.178,31","2.013,14","2.117,38","1.789,43","2.035,00","1.994,25","1.856,11","2.073,14","2.532,70","2.485,68","2.583,71","2.374,93","2.607,46","2.514,90","2.489,51","2.537,34","2.496,53","1.989,02","1.922,40","2.103,08","1.794,35","2.027,17","1.844,64","1.746,36","1.882,89","1.720,68","1.882,86","1.896,01","1.925,32","1.966,72","1.720,60","1.793,85","1.881,50","1.895,78","1.930,93","2.086,42","1.993,92","1.938,26","2.204,13","2.206,39","2.065,13","2.299,31","2.198,05","2.343,69","2.257,88","2.517,37","2.294,60","2.356,37","2.245,34","2.227,70","2.164,71","2.130,81","2.524,92","2.248,98","2.223,85","2.452,37","2.262,56","2.358,95","2.181,21","2.309,36","2.223,44","2.708,54","2.770,05","2.409,26","2.586,41","2.378,62","1.811,78"
31015 São João Del Rei,"802,66","834,34","833,03","848,66","894,16","867,54","894,27","866,81","851,68","869,14","883,17","899,00","975,49","885,62","882,00","943,19","931,47","880,33","856,11","960,62","902,74","875,4","879,09","855,78","798,12","858,08","943,73","907,91","834,43","877,78","879,05","868,05","824,84","888,68","860,18","865,77","908,25","810,75","858,38","878,26","891,57","922,59","973,99","915,39","877,22","886,63","939,15","878,39","907,75","1.089,23","871,58","971,92","951,29","1.021,64","927,7","983,28","947,63","1.056,30","844,18","935,44","997,95","851,04","922,54","970,62","918,92","907,54","951,23","859,95","953,57","864,27","988,83","934,61","968,53","1.056,32","947,34","917,1","1.010,70","1.042,39","1.021,46","1.099,28","978,32","967,19","998,04","1.081,05","1.029,79","1.105,56","959,04","1.082,29","918,95","1.040,86","1.025,79","1.108,52","1.047,58","1.079,07","973,36","1.089,51","1.101,81","1.040,69","989,18","1.073,43","1.040,56","988,91","1.168,50","1.045,57","1.116,21","992,23","1.157,64","1.065,28","1.203,57","1.130,32","1.197,03","1.222,02","1.164,13","1.226,28","1.155,31","1.254,81","1.188,84","1.290,97","1.302,03","1.353,99","1.041,12","1.286,99","1.406,74","1.429,86","1.360,78","1.382,95","1.762,33","1.908,94","2.154,34","2.393,81","1.596,50","1.576,68","1.879,08","3.139,70","3.122,61","3.817,95","3.343,16","4.569,37","2.561,30","2.567,30","2.419,88","2.717,65","2.093,96","1.992,67","2.133,32","2.176,02","2.187,00","1.535,70","1.623,58","1.775,40","1.606,30","1.734,84","1.779,47","2.004,15","1.845,02","2.249,88","1.638,48","1.615,95","1.685,62","1.664,84","1.735,20","1.788,33","1.754,81","1.670,96","1.868,63","1.720,71","1.733,31","1.916,39","1.670,14","1.600,25","1.454,81","1.286,53","1.628,13","1.831,04","1.884,97","1.764,91","2.093,13","1.783,09","1.913,04","2.029,07","1.849,36","1.795,57","1.844,40","1.678,85","1.821,99","1.732,97","1.767,88","1.845,50","1.984,60","2.045,93","1.934,36","2.073,58","1.352,68"
31016 Belo Horizonte/Nova Lima/Santa Luzia,"1.507,02","1.441,89","1.456,20","1.507,25","1.381,61","1.454,28","1.497,98","1.507,19","1.552,64","1.506,75","1.584,45","1.604,59","1.515,22","1.612,22","1.537,27","1.548,94","1.538,99","1.603,60","1.555,59","1.593,89","1.706,74","1.656,70","1.586,05","1.567,24","1.668,63","1.667,60","1.653,07","1.715,78","1.755,66","1.654,95","1.697,53","1.727,00","1.694,02","1.752,38","1.730,36","1.765,41","1.800,10","1.786,39","1.730,70","1.758,96","1.703,50","1.725,02","1.832,50","1.824,07","1.813,79","1.852,17","1.851,38","1.883,95","1.996,61","1.895,65","1.913,57","1.856,08","2.002,64","1.881,01","1.944,86","1.879,20","1.831,25","1.924,47","1.916,85","1.928,63","2.038,95","1.983,94","1.901,96","1.971,51","1.926,48","1.959,72","2.048,59","1.999,56","2.098,62","2.097,21","2.041,55","2.068,88","2.005,45","1.957,94","2.084,12","1.966,82","1.913,72","1.943,44","1.926,92","1.987,75","1.946,26","1.934,67","2.035,17","2.019,03","2.018,33","2.060,57","2.027,37","2.051,17","2.004,77","2.063,40","2.056,61","2.074,64","2.117,78","1.950,12","2.179,77","2.112,17","2.061,53","2.062,35","2.048,66","2.034,00","1.970,46","2.130,80","2.093,44","2.068,92","2.071,62","2.076,64","2.034,92","2.118,74","2.050,91","2.105,58","2.055,75","2.037,23","1.987,48","2.021,51","2.045,61","2.128,70","2.023,45","2.134,70","2.101,74","2.147,39","2.125,43","2.191,28","2.097,78","2.178,04","2.100,55","2.199,47","2.397,13","2.274,61","2.108,91","2.104,11","2.311,03","2.291,17","2.309,92","2.445,22","2.548,98","2.796,59","2.857,74","2.798,55","2.752,52","2.612,29","2.433,62","2.203,19","2.262,12","2.215,30","2.161,96","2.226,97","2.261,67","2.315,60","2.136,60","2.204,38","2.350,50","2.259,22","2.296,11","2.320,81","2.293,78","2.399,46","2.451,20","2.278,82","2.422,04","2.367,31","2.403,79","2.393,27","2.446,76","2.433,76","2.402,85","2.471,47","2.457,24","2.516,59","2.417,60","2.388,86","2.380,13","2.343,91","2.427,20","2.366,45","2.482,55","2.427,47","2.333,57","2.449,68","2.524,92","2.480,57","2.442,26","2.542,66","2.475,45","2.476,96","2.614,23","2.676,34","2.787,01","2.756,14","2.842,21","2.858,08","2.925,56","2.929,45","2.099,28"
31017 Betim,"1.204,21","1.166,41","982,15","1.008,36","1.009,02","1.082,85","1.032,15","1.184,46","1.086,85","1.032,87","981,69","1.180,93","1.064,91","1.094,30","1.007,39","1.076,54","948,10","971,78","958,5","1.121,12","989,77","897,22","922,29","1.082,25","933,57","931,18","1.079,69","960,11","984,9","1.292,09","859,41","1.010,48","999,19","1.065,35","1.215,86","1.118,16","1.130,42","1.083,56","1.212,94","1.145,27","986,82","1.154,68","917,71","976,76","865,97","1.029,49","879,31","882,9","1.132,47","976,59","1.129,80","872,86","1.118,00","1.076,78","1.063,75","1.087,70","984,82","1.120,32","960,51","938,49","998,46","1.124,51","1.080,54","986,16","1.051,65","1.057,25","1.024,65","1.051,15","998,58","1.002,96","953,02","1.280,97","1.050,14","1.087,01","978,18","1.006,77","1.258,82","1.124,39","1.059,64","1.051,08","915,15","1.135,73","1.115,28","1.308,32","1.121,81","1.313,74","1.089,84","1.101,88","1.242,18","948,29","1.185,24","1.255,72","1.375,05","1.290,51","1.148,13","1.072,40","1.120,74","1.245,45","1.164,32","1.197,79","1.398,31","1.152,93","1.131,96","1.408,99","1.174,75","1.190,97","1.172,38","1.281,67","1.117,45","1.146,26","1.230,40","1.272,62","1.128,66","1.189,18","1.351,65","1.149,70","1.169,74","1.190,28","1.170,77","1.178,06","1.201,15","1.121,90","1.403,52","1.210,40","1.257,98","1.253,88","1.345,27","1.447,24","2.740,65","2.928,26","3.070,69","3.920,32","3.387,63","2.070,54","2.054,62","3.678,80","3.168,15","3.432,50","4.008,47","4.000,05","2.401,46","1.845,13","1.673,72","1.266,83","1.584,22","1.574,05","1.986,02","1.430,83","1.322,28","1.198,61","1.357,17","1.408,00","1.561,06","1.382,20","1.420,86","1.649,29","1.228,61","1.543,24","1.644,01","1.371,34","1.588,42","1.601,85","1.706,18","1.514,20","1.306,12","1.452,37","1.378,46","1.592,36","1.113,68","1.516,28","1.484,28","1.579,50","1.684,27","1.737,88","1.478,43","1.725,58","1.528,15","1.890,21","1.793,60","1.672,61","1.710,73","1.600,66","1.701,82","1.418,19","1.686,57","1.437,46","1.486,73","1.659,90","1.794,88","1.848,52","2.407,27","2.190,35","1.380,27"
31018 Contagem,"908,55","787,43","941,30","795,69","795,29","850,99","765,39","766,35","803,83","888,89","956,21","1.051,48","762,93","927,14","875,60","859,22","867,21","811,34","1.010,96","1.069,48","940,38","1.003,75","1.041,59","997,92","933,27","1.085,81","953,16","829,57","931,78","990,63","873,39","1.223,58","1.121,67","1.210,91","942,95","1.378,83","878,09","1.035,16","1.068,26","958,71","1.017,77","1.042,00","1.092,87","1.031,05","1.058,60","986,6","1.045,77","1.096,96","1.249,48","1.231,69","1.086,02","1.142,37","1.086,09","1.185,89","1.159,78","1.210,34","1.096,76","1.203,92","1.235,80","1.169,52","1.219,72","1.290,18","1.257,22","1.515,70","1.008,83","1.304,01","1.370,64","1.323,30","1.138,60","1.178,90","1.160,40","1.273,44","1.233,08","1.160,50","1.134,01","1.091,61","1.152,50","1.199,97","1.184,75","1.186,13","987,31","1.076,10","1.220,87","1.297,73","1.252,62","1.146,12","1.263,44","1.162,92","1.385,29","1.181,90","1.238,89","1.357,59","1.181,54","1.191,37","1.223,15","1.203,93","1.178,20","1.248,12","1.133,33","1.218,94","1.225,56","1.128,24","1.310,07","1.178,21","1.316,95","1.337,83","1.328,86","1.125,23","1.152,92","1.314,58","1.237,08","1.261,14","1.274,62","1.379,74","1.393,80","1.245,72","1.335,67","1.166,72","1.374,75","1.455,58","1.165,48","1.425,28","1.018,88","1.775,63","1.339,44","1.373,98","1.693,09","1.875,10","1.773,66","1.921,07","1.955,99","1.430,94","1.798,51","1.940,04","2.196,75","2.441,06","2.410,05","2.644,67","2.248,89","1.874,66","1.829,64","1.889,26","1.513,27","1.353,07","1.409,03","1.255,00","1.367,11","1.428,04","1.465,01","1.375,23","1.392,13","1.354,66","1.444,29","1.593,63","1.668,19","1.634,27","1.627,66","1.755,21","1.582,21","1.551,36","1.499,48","1.479,42","1.661,10","1.575,91","1.741,18","1.712,56","1.677,18","1.652,90","1.942,18","1.641,87","1.730,80","1.482,17","1.756,85","1.378,64","1.673,06","1.855,46","1.703,59","1.582,99","1.850,04","1.727,21","1.727,40","1.789,58","1.462,14","1.621,98","1.306,25","1.733,64","1.764,59","1.605,05","1.462,32","1.404,74","1.725,42","1.633,34","1.373,51"
31019 Curvelo,"710,57","636,13","722,22","684,14","700,38","762,91","725,97","733,08","730,52","755,12","718,57","750,91","719,04","655,14","719,55","726,35","686,64","734,92","729,39","712,8","726,21","706,73","702,07","738,6","708,41","698,68","691,58","677,79","739,62","683,1","732,68",728,"714,34","668,02","707,66","710,65","751,36","743,56","726,21","725,96","738,5","737,03","806,22","804,05","848,36","862,92","864,26","993,98","963,24","958,96","897,78","919,84","842,81","728,4","816,06","861,02","792,95","803,48","805,78","865,72","872,48",822,948,"793,02","844,5","834,69","846,36","814,32","771,18","825,88","876,68","886,46","826,03","909,67","976,87","1.014,65","987,06","885,08","937,88","994,81","972,91","943,83","932,85","963,47","1.014,98","983,13","985,5","1.011,35","983,03","1.056,22","1.033,90","1.058,38","1.018,67","1.017,91","1.024,56","1.000,45","935,71","1.010,75","973,96","959,48","927,93","977,54","1.104,76","979,78","958,47","1.038,97","966,95","996,41","1.051,39","1.029,96","966,2","1.035,52","1.037,89","1.007,24","1.081,14","1.080,85","1.050,54","1.022,44","1.092,46","1.017,78","1.058,12","989,88","1.103,43","1.216,63","1.171,80","1.137,36","1.572,42","1.818,84","2.197,57","2.150,54","1.916,17","2.002,07","2.325,88","2.237,22","2.558,31","3.161,15","2.781,92","2.902,17","2.455,00","2.177,54","1.607,66","1.499,21","1.332,78","1.341,51","1.593,81","1.912,53","1.380,79","1.342,48","1.257,24","1.173,65","1.166,67","1.226,18","1.362,74","1.412,37","1.420,38","1.384,36","1.367,18","1.245,61","1.551,14","1.386,61","1.297,15","1.419,76","1.496,43","1.463,14","1.573,57","1.411,27","1.417,08","1.449,77","1.367,83","1.474,20","1.373,52","1.335,92","1.401,67","1.306,26","1.368,41","1.401,97","1.348,66","1.434,40","1.355,57","1.712,46","1.319,90","1.375,88","1.242,65","1.400,35","1.402,13","1.255,94","1.364,86","1.437,99","1.551,86","1.395,30","1.380,55","1.362,87","1.134,40"
31020 Guanhães,"465,71","449,43","474,23","470,69","479,52","489,62","475,27","483,81","484,48","450,76","487,12","473,25","470,8","444,29","465,33","462,28","483,09","464,88","465,11","478,67","473,7","463,5","482,08","433,55","500,48","459,89","429,55","472,62","476,8","459,67","467,97","449,37","478,32","450,86","461,67","454,2","454,52","425,18","427,07","418,69","430,2","406,5","430,6","432,64","410,14","394,65","420,21","430,86","388,63","418,3","440,79","457,29","452,47","388,81","441,25","474,22","490,42","451,37","464,37","447,18","408,75","409,41","486,56","748,49","451,28","461,27","455,01","464,83","441,56","423,11","441,06","412,31","414,51","419,68","412,57","454,24","444,79","452,3",416,"433,72","417,26","442,69","430,52","427,37","402,98","414,86","444,93","435,86","449,91","463,84","497,4","464,72","451,08","447,26",467,"447,88","454,29","437,02","431,38","425,1","426,37","474,93","414,35","452,37","445,94","421,51","458,43","571,51","418,63","408,93","435,53","433,84","452,23","433,91","525,4","457,15","436,99","450,07","423,15","450,72","457,34","420,59","447,44","436,99","435,66","446,86","460,62","442,01","436,43","464,78","435,25","478,88","444,26","490,01","568,04","1.072,59","1.717,74","1.305,16","1.187,09","1.410,25","966,38","1.055,24","584,81","729,91","705,83","661,22","1.114,07","849,4","695,28","776,26","656,9","693,65","756,54","744,96","786,71","748,48","778,27","737,89","713,68","727,39","680,8","706,72","754,09","708,32","737,73","722,64","803,45","745,27","719,91","753,48","819,72","857,69","837,22","788,8","863,83","825,37","953,76","1.029,14","1.079,10","1.120,83","939,68","904,37","1.085,46","847,94","1.008,68","827,44","870,58","949,85","1.003,82","794,78","839,4","939,45","588,52"
31021 Itabira,"687,19","633,61","616,12","428,37",603,"635,54","727,18","767,82","699,93","639,39","588,69","679,90","764,07","641,21","666,58","652,32","686,09","711,92","629,7","628,43","648,5","720,13","712,54","647,41","584,69","660,22","690,49","684,57","704,48","698,03","715,97","749,73","741,55","655,25","761,35","643,61","730,53","753,56","712,42","699,04","717,11","716,53","791,89","726,67","750,99","677,13","709,32","751,29","872,42","766,31","765,9","686,66","785,37","774,41","866,89","753,61","842,05","773,12","781,3","789,48","736,33","834,6","693,27","871,22","829,09","797,69","841,56","738,93","774,48","657,21","814,58","700,83","768,74","655,18","704,96","848,03","720,5","813,62","715,06","776,56","774,74","768,61","740,15","721,29","826,78","791,76","741,17","780,33","817,35","781,33","824,86","928,96","856,96","810,44","762,3","784,12","853,78","837,55","796,72","851,46","865,95","854,83","855,84","889,19","823,05","873,3","851,33","874,15","1.133,60","1.289,55","954,09","933,77","996,74","1.113,47",969,"890,09","878,54","907,33","925,71",852,"862,5","987,82","848,34","953,61","959,23","1.019,52","1.224,77","1.313,32","1.303,81","1.305,93","1.131,56","1.287,14","1.329,25","1.156,66","1.504,67","1.651,67","1.768,91","2.001,41","1.496,06","1.672,41","1.172,53","1.177,76","974,7","920,68","942,64","1.237,75","935,87","1.009,83","912,89","1.069,24","999,19","1.139,33","1.112,01","1.010,73","1.042,62","1.079,00","1.062,31","1.074,41","1.175,15","1.002,69","1.150,03","1.135,14","1.199,19","1.222,36","1.264,35","1.302,50","1.318,19","1.156,32","1.254,60","1.192,28","1.108,13","1.262,17","1.426,73","1.436,76","1.549,00","1.586,97","1.421,27","1.662,34","1.672,11","1.604,91","1.774,27","1.753,80","1.579,70","1.806,19","1.966,94","1.646,26","1.488,07","1.581,97","1.820,88","2.163,15","2.139,55","2.225,74","1.008,34"
31022 Ouro Preto,"670,54","589,04","486,15","714,32","658,82","657,48","641,37","646,37","638,34","589,37","720,36","665,36","690,26","675,31","693,40","699,90","690,9","760,48","723,33","711,61","720,06","625,39","657,88","699,55","629,18","716,81","659,81","649,23","650,48","673,18","715,83","714,37","758,5","681,93","646,79","709,7","699,28","635,13","678,81","659,03","706,87","712,68","723,76","765,96","787,01","752,8","716,38","708,3","749,19","764,05","769,38","789,71","731,33","650,81","702,94","694,9","788,02","729,87","753,44","809,27","749,18","780,43","787,09","777,39","770,02","792,28","704,89","777,46","684,06","756,52","704,78","716,4","718,47","773,94","731,54","740,38","809,16","750,36","873,33",824,"706,85","727,68","737,38","815,19","811,17","880,07","879,91","813,31","760,14","789,11","720,96","833,71","799,36","772,21","728,69","745,78","764,7","750,72","798,27","804,75","773,08","773,29","808,46","806,92","756,29","692,32","797,95","798,01","804,3","723,97","721,1","795,14","766,99","762,78","821,19","837,33","838,07","761,31","739,78","742,43","784,15","802,01","778,32","836,96","958,41","839,5","1.381,83","1.680,08","1.549,42","1.475,74","1.296,07","1.285,23","1.790,82","1.022,21","1.066,73","1.781,44","2.020,20","1.914,43","2.387,41","1.720,28","1.296,67","1.286,26","1.302,30","963,76","1.287,86","1.325,69","1.104,88","1.190,90","1.119,15","1.120,21","1.164,52","1.122,99","1.187,49","1.233,91","1.167,05","1.232,15","1.234,64","1.148,73","1.066,89","1.121,70","1.112,92","1.065,50","1.037,56","1.118,14","1.072,11","1.156,74","1.110,53","1.163,15","1.209,38","1.093,13","1.081,42","1.046,36","1.043,89","1.136,07","1.081,75","1.069,37","1.096,75","1.155,82","999,31","1.232,80","1.188,52","1.211,70","1.123,57","1.134,42","1.156,00","1.100,93","1.232,58","1.254,67","1.234,83","1.265,01","1.404,80","1.430,30","921,99"
31023 João Monlevade,"515,29","461,94","502,28","401,17","478,91","490,13",507,"491,88","480,28","463,5","478,23","488,65","481,6","476,59","486,12","467,41","477,66","507,55","503,34","520,32","494,99","513,48","496,71","496,1","502,45","670,28","612,23","607,74","612,34","577,59","621,17","687,41","714,74","641,02","725,79","639,5","634,66","759,71","639,79","704,05","778,5","608,45","733,44","786,35","740,71","710,92","814,72","905,5","791,14","846,69","851,6","896,49","835,25","816,16","739,82","813,28","810,62","783,19","834,99","783,57","810,6","803,55","802,26","825,3","758,33","810,11","819,31","767,7","780,54","706,37","880,29","752,92","813,16","731,25","702,63","741,46","834,06","776,66","742,49","759,97","806,07","795,89","766,93","767,6","787,41","670,15","675,15","688,57","798,87","685,28","740,9","832,97","744,41","689,4","728,5","676,34","648,95","614,35","777,08","751,29","765,67","665,28","753,31","744,8","790,66","761,06","793,92","841,61","858,31","749,08","824,09","981,22","800,38","808,44","876,09","879,54","801,07","766,75","830,31","780,09","910,51","762,18","921,68","1.030,41","986,51","926,26","904,16","1.037,66","1.243,74","946,37","862,1","1.149,72","986,47","1.231,67","1.114,31","2.099,96","1.834,66","2.065,13","2.171,15","1.950,41","1.577,88","1.321,52","1.058,34","982,02","1.153,74","1.530,22","998,52","872,37","878,04","867,49","982,17","991,19","1.012,21","887,12","872,5","966,69","897,34","962,95","844,97","874,88","1.023,36","974,59","830,89","860,01","969,05","974,8","929,52","1.033,90","1.033,83","922,37","1.021,07","1.104,45","972,38","981,79","1.054,98","1.020,00","1.227,52","942,97","1.081,56","1.101,44","1.072,25","1.080,44","1.007,76","1.048,53","1.141,16","1.133,34","899,22","906,62","948,65","1.307,12","1.295,98","1.003,97","848,28"
31024 Sete Lagoas,"786,58","791,98","778,88","837,08","786,15","864,83","719,92","752,82","842,05","822,67","815,09","859,14","791,33","540,67","1.053,84","750,66","862,87","888,84","886,57","899,26","837,95","974,05","848,61","855,14","917,91","879,96","861,4","907,35","894,48","900,45","924,93","938,15","912,2","977,23","951,49","897,13","888,58","922,19","923,63","938,9","992,22","945,6","914,65","1.023,82","1.047,08","919,58","981,1","991,53","940,41","957,17","958,4","995,1","956,29","983,58","933,01","960,37","932,62","1.035,40","1.002,87","986,2","982,65","1.013,41","984,17","943,64","940,28","989,25","906,36","911,83","964,79","901,58","1.000,46","837,92","821,16","839,25","946,42","944,19","882,91","872,55","872,14","916,46","977,56","900,15","970,58","998,86","1.002,08","1.055,14","1.002,24","999,43","975,09","890,95","963,3","919,86","962,32","872,9","949,32","925,92","943,4","912,16","883,12","952,78","951,86","880,66","952,58","1.002,41","1.006,98","1.002,96","1.036,46","1.037,63","990,43","1.005,86","949,27","984,62","897,74","1.076,22","937,58","1.065,00","954,75",967,"1.021,24","951,37","983,62","948,54","998,09","1.167,37","1.043,96","1.056,94","1.141,69","1.366,23","1.412,19","1.199,20","1.142,86","1.232,53","1.149,41","1.175,94","1.139,52","1.099,48","1.328,32","1.161,55","1.332,31","1.690,16","1.217,85","1.262,48","1.073,93","1.128,31","1.158,76","1.354,63","1.208,91","1.187,53","1.059,23","1.257,32","1.145,76","1.193,46","1.153,42","1.159,23","1.171,77","1.270,62","1.141,78","1.196,39","1.217,13","1.182,59","1.291,62","1.209,41","1.573,43","1.290,43","1.362,97","1.292,26","1.256,32","1.387,00","1.351,09","1.393,92","1.263,35","1.331,04","1.458,56","1.320,53","1.456,99","1.430,42","1.423,41","1.680,25","1.433,82","1.549,07","1.613,32","1.530,13","1.385,42","1.556,54","1.475,30","1.567,40","1.556,16","1.642,43","1.743,33","1.733,90","1.492,52","1.798,83","1.086,60"
